,Year,Entidad,Tipo.de.delito,Enerosum,Eneromean,Febrerosum,Febreromean,Marzosum,Marzomean,Abrilsum,Abrilmean,Mayosum,Mayomean,Juniosum,Juniomean,Juliosum,Juliomean,Agostosum,Agostomean,Septiembresum,Septiembremean,Octubresum,Octubremean,Noviembresum,Noviembremean,Diciembresum,Diciembremean
81,2017,Morelos,Violencia familiar,375,11.36363636,368,11.15151515,459,13.90909091,423,12.81818182,555,16.81818182,466,14.12121212,399,12.09090909,453,13.72727273,375,11.36363636,456,13.81818182,403,12.21212121,337,10.21212121
82,2017,Nayarit,Violencia familiar,63,3.15,54,2.7,53,2.65,35,1.75,55,2.75,30,1.5,17,0.85,32,1.6,29,1.45,11,0.55,28,1.4,25,1.25
83,2017,Nuevo León,Violencia familiar,1178,23.09803922,1260,24.70588235,1458,28.58823529,1356,26.58823529,1652,32.39215686,1852,36.31372549,1512,29.64705882,1696,33.25490196,1630,31.96078431,1290,25.29411765,1295,25.39215686,966,18.94117647
84,2017,Oaxaca,Violencia familiar,253,0.443082312,274,0.479859895,376,0.65849387,392,0.686514886,402,0.704028021,335,0.586690018,314,0.549912434,372,0.651488616,304,0.532399299,430,0.753064799,388,0.679509632,372,0.651488616
85,2017,Puebla,Violencia familiar,460,2.119815668,523,2.410138249,513,2.3640553,513,2.3640553,590,2.718894009,533,2.456221198,520,2.396313364,611,2.815668203,510,2.350230415,589,2.714285714,530,2.442396313,435,2.004608295
86,2017,Querétaro,Violencia familiar,85,4.473684211,63,3.315789474,96,5.052631579,83,4.368421053,123,6.473684211,92,4.842105263,106,5.578947368,126,6.631578947,86,4.526315789,111,5.842105263,103,5.421052632,112,5.894736842
87,2017,Quintana Roo,Violencia familiar,124,11.27272727,140,12.72727273,242,22,184,16.72727273,194,17.63636364,229,20.81818182,211,19.18181818,218,19.81818182,250,22.72727273,310,28.18181818,248,22.54545455,283,25.72727273
88,2017,San Luis Potosí,Violencia familiar,497,8.568965517,496,8.551724138,515,8.879310345,461,7.948275862,550,9.482758621,480,8.275862069,407,7.017241379,489,8.431034483,491,8.465517241,513,8.844827586,448,7.724137931,376,6.482758621
89,2017,Sinaloa,Violencia familiar,157,8.722222222,148,8.222222222,185,10.27777778,180,10,274,15.22222222,300,16.66666667,225,12.5,230,12.77777778,214,11.88888889,298,16.55555556,236,13.11111111,165,9.166666667
90,2017,Sonora,Violencia familiar,251,3.391891892,240,3.243243243,310,4.189189189,184,2.486486486,236,3.189189189,199,2.689189189,167,2.256756757,211,2.851351351,172,2.324324324,210,2.837837838,122,1.648648649,126,1.702702703
91,2017,Tabasco,Violencia familiar,490,28.82352941,519,30.52941176,597,35.11764706,599,35.23529412,681,40.05882353,582,34.23529412,598,35.17647059,550,32.35294118,563,33.11764706,555,32.64705882,445,26.17647059,417,24.52941176
92,2017,Tamaulipas,Violencia familiar,532,12.37209302,571,13.27906977,679,15.79069767,621,14.44186047,753,17.51162791,711,16.53488372,598,13.90697674,646,15.02325581,558,12.97674419,500,11.62790698,455,10.58139535,406,9.441860465
93,2017,Tlaxcala,Violencia familiar,0,0,1,0.016666667,1,0.016666667,0,0,0,0,0,0,0,0,2,0.033333333,3,0.05,0,0,8,0.133333333,9,0.15
94,2017,Veracruz de Ignacio de la Llave,Violencia familiar,506,2.364485981,501,2.341121495,593,2.771028037,577,2.696261682,613,2.864485981,626,2.925233645,539,2.518691589,573,2.677570093,545,2.546728972,568,2.654205607,412,1.925233645,273,1.275700935
95,2017,Yucatán,Violencia familiar,187,1.764150943,209,1.971698113,247,2.330188679,260,2.452830189,270,2.547169811,246,2.320754717,233,2.198113208,211,1.990566038,220,2.075471698,226,2.132075472,197,1.858490566,164,1.547169811
96,2017,Zacatecas,Violencia familiar,90,1.551724138,133,2.293103448,120,2.068965517,103,1.775862069,146,2.517241379,167,2.879310345,135,2.327586207,156,2.689655172,141,2.431034483,155,2.672413793,134,2.310344828,130,2.24137931
97,2018,Aguascalientes,Violencia familiar,86,7.818181818,96,8.727272727,118,10.72727273,134,12.18181818,170,15.45454545,108,9.818181818,148,13.45454545,167,15.18181818,133,12.09090909,158,14.36363636,152,13.81818182,140,12.72727273
98,2018,Baja California,Violencia familiar,679,135.8,642,128.4,729,145.8,824,164.8,954,190.8,964,192.8,999,199.8,984,196.8,863,172.6,891,178.2,729,145.8,646,129.2
99,2018,Baja California Sur,Violencia familiar,148,29.6,147,29.4,198,39.6,160,32,187,37.4,191,38.2,194,38.8,167,33.4,154,30.8,240,48,167,33.4,157,31.4
100,2018,Campeche,Violencia familiar,4,0.363636364,6,0.545454545,4,0.363636364,3,0.272727273,4,0.363636364,12,1.090909091,2,0.181818182,4,0.363636364,4,0.363636364,5,0.454545455,1,0.090909091,3,0.272727273
